AtcoCode,CommonName,LocalityName,Latitude,Longitude,Easting,Northing
700000005776,Tobergill Gardens,Antrim,54.72344712,-6.20492725,315712,387641
700000005777,Oaktree Drive,Antrim,54.72237069,-6.20201026,315903,387526
700000005778,Elim Church,Antrim,54.72103244,-6.1990119,316100,387382
700000005779,Ballycraigy Road,Antrim,54.70537669,-6.18003296,317368,385671
700000005780,Larchfield,Antrim,54.70685826,-6.17698763,317560,385841
700000005781,Beechgrove,Antrim,54.70889249,-6.17604297,317615,386069
700000005782,Cedarhill,Antrim,54.71038861,-6.17695337,317552,386234
700000005783,Abbeyside,Antrim,54.70801772,-6.18000776,317362,385965
700000005784,Craighill,Antrim,54.70851512,-6.18082335,317308,386019
700000005785,Greystone Community Centre,Antrim,54.71183888,-6.18318834,317146,386385
700000005786,Greystone Road,Antrim,54.71385302,-6.1887003,316785,386600
700000005787,Ashgreen,Antrim,54.71271489,-6.19612193,316310,386461
700000005788,Knockmoyle Drive,Antrim,54.71309045,-6.1996278,316083,386497
700000005789,Ashgreen,Antrim,54.71290661,-6.19512029,316374,386484
700000005790,Greystone Road,Antrim,54.71393406,-6.18871221,316784,386609
700000005792,Garret Rocks,Bangor,54.629885,-5.53811891,359034,378532
700000005793,Quayside,Bangor,54.63077555,-5.53684149,359113,378634
700000005794,The Moorings,Bangor,54.63009883,-5.53538004,359210,378562
700000005795,Newpark Industrial Estate,Antrim,54.71340438,-6.17914573,317402,386566
700000005796,Greystone Roundabout,Antrim,54.71609967,-6.18633436,316931,386854
700000005797,Greystone Roundabout,Antrim,54.71593132,-6.18589182,316960,386836
700000005798,Craighill,Antrim,54.70826712,-6.18046207,317332,385992
700000005799,Muckamore Abbey Hospital,Antrim,54.69288953,-6.18850215,316858,384267
700000005800,Oldstone Road,Antrim,54.67300613,-6.18244241,317306,382064
700000005801,Belfast International Airport,Antrim,54.66242036,-6.21797265,315044,380827
700000005802,Oldstone Road,Antrim,54.6734618,-6.18287163,317277,382114
700000005803,Greenmill,Antrim,54.7031733,-6.19128622,316649,385407
700000005804,St Malachys High School,Antrim,54.72482559,-6.19550639,316315,387810
700000005805,Massereene Community College,Antrim,54.72454662,-6.19246091,316512,387784
700000005806,St Comgall's Ballymena Road,Antrim,54.72037074,-6.22112697,314677,387272
700000005807,16-24 Massereene Gardens,Antrim,54.72396387,-6.2216991,314630,387671
700000005808,Railway Bridge,Antrim,54.72959581,-6.22345504,314501,388295
700000005809,Kintyre,Antrim,54.73090794,-6.21675312,314929,388452
700000005811,Springfarm Shop,Antrim,54.73318144,-6.21923047,314763,388701
700000005812,Niblock Road,Antrim,54.73859601,-6.20501817,315663,389327
700000005813,Meadowlands,Antrim,54.73211793,-6.22758299,314228,388569
700000005814,Stirling Street,Antrim,54.73576994,-6.21624453,314948,388994
700000005815,Holywell Hospital,Antrim,54.73396503,-6.2089957,315420,388805
700000005817,The Meadow,Antrim,54.7291842,-6.21378615,315125,388265
700000005818,Bush Town Road,Antrim,54.73091005,-6.19806144,316133,388483
700000005819,Willowhouse,Antrim,54.73265011,-6.19123071,316568,388688
700000005820,Antrim Area Hospital,Antrim,54.73377522,-6.18715942,316827,388820
700000005821,Donegore Drive,Antrim,54.71752143,-6.20155758,315946,386987
700000005822,87-95 Donegore Drive,Antrim,54.71628284,-6.20345917,315827,386846
700000005823,24-32 Donegore Drive,Antrim,54.71525343,-6.20674809,315618,386726
700000005824,Donegore Drive,Antrim,54.71491224,-6.20676315,315618,386688
700000005825,98-106 Donegore Drive,Antrim,54.71735751,-6.2020149,315917,386968
700000005826,The Meadow,Antrim,54.72934697,-6.21568843,315002,388280
700000005827,Railway Bridge,Antrim,54.72956342,-6.22308388,314525,388292
700000005828,Old Springfarm Road,Antrim,54.7243046,-6.22165314,314632,387709
700000005829,St Comgall's Ballymena Road,Antrim,54.72041336,-6.22096989,314687,387277
700000005830,Antrim Grammer School,Antrim,54.72266468,-6.21155844,315287,387543
700000005831,Rathmore School,Antrim,54.71618386,-6.15855151,318721,386910
700000005832,Lower Burnside,Antrim,54.71896282,-6.14812013,319385,387237
700000005833,Dunegore,Antrim,54.71993858,-6.13733541,320077,387364
700000005834,Footbridge,Antrim,54.71854973,-6.12534001,320854,387230
700000005835,Paradise Park,Antrim,54.72124693,-6.10064552,322437,387573
700000005836,Parkgate Village,Antrim,54.72278552,-6.09506333,322792,387754
700000005837,Beechfield,Antrim,54.72427454,-6.07444182,324116,387956
700000005838,Harmony Lodge,Ballyclare,54.73837082,-6.03965836,326313,389587
700000005839,Thornditch,Ballyclare,54.74322433,-6.02979542,326933,390145
700000005840,Ballyclare Cemetery,Ballyclare,54.74766872,-6.01968601,327570,390658
700000005841,The Cloughan,Ballyclare,54.748274,-6.01714031,327732,390730
700000005842,Clare Heights,Ballyclare,54.74904912,-6.01399601,327932,390822
700000005843,Sacred Heart Church,Ballyclare,54.7506719,-6.00830925,328293,391013
